CC_ID,WARN_LIGHT_IDENTIFIER,TITLE_ENUS,LONGTEXT_ENUS,TITLE_DEDE,LONGTEXT_DEDE,TITLE_ENGB,LONGTEXT_ENGB,TITLE_RURU,LONGTEXT_RURU
39,V20,Stop carefully: Engine overheated.,"Engine overheated: Turn off engine and allow to cool. Do not open hood, scalding hazard. Call Roadside Assistance.",Vorsichtig anhalten. Motor überhitzt.,Motor überhitzt Vorsichtig anhalten und Motor abstellen. Motorhaube nicht öffnen. Verbrühungsgefahr. Pannenhilfe rufen.,Stop carefully. Engine overheated.,Engine overheated Stop carefully and switch off the engine. Do not open the bonnet. Risk of scalding. Please call roadside assistance.,перегрев двиг. Соблюдать осторожность,"Заглушите двигатель и дайте ему остыть. Не открывайте капот, опасность ожога паром! Обратитесь в ближайшую сервисную службу BMW. // Перегрев двигателя. Осторожно остановитесь, выключите двигатель. Капот не открывать. Опасность ожога паром. Вызвать помощь при аварии."
40,V414,Press brake for drive-ready mode.,-,Für Fahrbereitschaft Bremse treten.,-,Press brake for ready-to-drive.,-,Для пуска двигателя нажмите на тормоз,-
41,V414,Service due.,Service due: Your service center could not be automatically notified. Have the problem checked by the nearest service center.,Service fällig.,Service fällig Ihr Service Partner konnte nicht automatisch informiert werden. Vom nächstgelegenen Service Partner prüfen lassen.,Service due.,Service due The Service Partner could not be informed automatically. Have the problem checked by the nearest Service Partner.,Наступил срок технического обслуживания,Не удалось автоматически проинформировать Вашего сервисного партнера. Для проверки обратитесь к ближайшему сервисному партнеру.
42,V13,Cont. driving possible: Brake system.,Brake system and chassis stabilization Avoid harsh braking as much as possible. Drive moderately. Braking may require additional force. Have the problem checked by the nearest service center.,Weiterfahrt möglich. Bremssystem.,Bremssystem und Fahrstabilisierung Abruptes Bremsen möglichst vermeiden. Gemäßigt fahren. Ggf. höhere Pedalkraft zum Bremsen notwendig. Vom nächstgelegenen Service Partner prüfen lassen.,You can cont. driving. Brake system.,Brake system and driving stabilisation Avoid harsh braking as much as possible. Drive moderately. Braking may require additional force. Have the problem checked by the nearest Service Partner.,Системы регулировки! Двигайтесь с небольшой скоростью,"Отказ систем регулировки при торможении и движении. Двигаться с небольшой скоростью, без резкого торможения. Have the problem checked by the nearest BMW Service. (Обратитесь в ближайшую сервисную службу BMW) // Отказ систем регулировки при торможении и движении. Стояночный тормоз без функции аварийного торможения. Избегайте сильного торможения. Have the problem checked by the nearest BMW Service. (Обратитесь в ближайшую сервисную службу BMW) // Избегать резкого торможения. Двигаться с небольшой скоростью. Для проверки обратитесь к ближайшему сервисному партнеру."
43,V7,EDC malfunction.,Electronic Damping Control malfunction: Driving comfort and cornering behavior reduced. Drive moderately. Have the problem checked by the nearest service center.,Kurvenverhalten eingeschränkt.,Dynamische Dämpfer Control Dynamische Dämpfer Control ausgefallen. Kurvenverhalten und Fahrkomfort stark eingeschränkt. Gemäßigt fahren. Vom nächstgelegenen Service Partner prüfen lassen.,Cornering ability restricted.,Dynamic Damping Control Dynamic Damping Control failure. Cornering and driving comfort severely restricted. Drive moderately. Have the problem checked by the nearest Service Partner.,Отказ системы динамической регулировки жесткости амортизаторов!,Система динамической регулировки жесткости амортизаторов вышла из строя. Поворачиваемость и комфортность движения сильно ограничены. Двигаться с небольшой скоростью. Для проверки обратитесь к ближайшему сервисному партнеру.
44,V78,Particulate filt. add. tank empty!,Particulate filter additive Particulate filter additive tank empty. Possible to continue driving. Have the additive tank refilled. Have the system checked by the nearest MINI dealer.,Partikelfilter-Additivtank leer!,Partikelfilter-Additivtank Partikelfilter-Additivtank leer. Weiterfahrt möglich. Additivtank nachfüllen lassen. Vom nächsten MINI Service prüfen lassen.,Particle filt. additive tank empty!,Particle filter additive Particle filter additive tank empty. Possible to continue driving. Have the additive tank refilled. Have the system checked by the nearest MINI Service.,Бак аддитивов сажевого фильтра пуст.,Бак аддитивов сажевого фильтра пуст. Движение возможно. Долить аддитив в бак. Обратитесь на ближайшую сервисную мини-станцию.
45,V414,Level control malfunction.,Level control malfunction: Ground clearance and cornering behavior reduced. Drive moderately. Have the problem checked by the nearest service center.,Kurvenverhalten eingeschränkt.,Niveauregulierung Niveauregulierung ausgefallen. Bodenfreiheit und Kurvenverhalten evtl. eingeschränkt. Gemäßigt fahren. Vom nächstgelegenen Service Partner prüfen lassen.,Cornering ability restricted.,Level control Level control failure. Ground clearance and cornering may be restricted. Drive moderately. Have the problem checked by the nearest Service Partner.,Системы регулировки дорожного просвета отказала!,Высота дорожного просвета / комфортность движения уменьшены. Избегайте высокой скорости при прохождении поворотов. Как можно скорее обратитесь на СТОА BMW. // Система регулировки дорожного просвета не работает. Высота дорожного просвета и поворачиваемость ограничены. Двигаться с небольшой скоростью. Для проверки обратитесь к ближайшему сервисному партнеру.
46,V2,Fasten safety belts,-,Gurt anlegen,-,Fasten seat belt,-,Пристегнуть ремень,-
47,V40,Servotronic malfunct.! Drive moderately,-,Servotronic gestört! Gemäßigt fahren,-,Servotronic fault! Drive moderately,-,Сервотроник неисправен! Двигаться с небольшой скоростью.,-
48,F6_2,Symbol: Parking brake indicator light.,-,Symbol: Feststellbrems-Kontrollleuchte.,-,Symbol: Parking brake indicator light.,-,Другие сведения отсутствуют. Символ: Контрольная лампа стояночного тормоза.,-
